id;uuid;created_at;updated_at;deleted_at;description;parent_location_id;code;location_type
14;657811db-aa76-4b81-b4f6-20737c0e4d1a;2025-03-21 17:44:27.157 -0300;;;Capela do Socorro;;11;CRAS
15;56bab4f4-ecc5-4248-a315-760cc57ac626;2025-03-21 17:44:37.036 -0300;;;Casa Verde;;12;CRAS
99;481f28c6-f113-4612-a67c-2bc6f8988dcf;2025-05-07 10:10:52.661 -0300;;;Centro Oeste;;104;CRAS
16;6a0b239b-a8ad-437e-9a00-4d28e23bd000;2025-03-21 17:44:48.873 -0300;;;Cidade Ademar I;;13;CRAS
17;57721050-916d-4ccf-8cde-052f8ce770e8;2025-03-21 17:44:54.798 -0300;;;Cidade Ademar II;;14;CRAS
18;cbe9d59d-45a1-4e93-b42c-6d973b2cbc91;2025-03-21 17:45:10.876 -0300;;;Cidade Lider;;15;CRAS
19;672dcc12-f7bb-443d-bd5f-b37edcc5359d;2025-03-21 17:45:23.611 -0300;;;Cidade Tiradentes;;16;CRAS
20;6c216d30-e141-4a31-b996-3c4e5eb166b6;2025-03-21 17:45:36.633 -0300;;;Ermelino Matarazzo;;17;CRAS
21;809cdc82-5b53-4772-a761-1bbedd1f9a8c;2025-03-21 17:45:54.893 -0300;;;Freguesia do Ó;;18;CRAS
22;9cdaeea8-ab98-4e22-9197-5274387ad617;2025-03-21 17:46:05.393 -0300;;;Grajau;;19;CRAS
23;cdabb0b9-9818-46bf-bb24-572818fbfc51;2025-03-21 17:46:20.754 -0300;;;Guianases;;20;CRAS
96;1a372193-ef0e-4d5e-9585-bf82fbca8bad;2025-03-26 09:54:13.537 -0300;;;Iguatemi;;95;CRAS
24;1ffe4ac2-6b78-4480-acd8-3677764dae7a;2025-03-21 17:48:27.499 -0300;;;Ipiranga;;21;CRAS
25;74acb378-fb24-4646-af36-094d63a686e8;2025-03-21 17:48:48.459 -0300;;;Itaim Paulista I;;22;CRAS
26;db1a3b7d-bccb-4041-9d59-8e29a980704a;2025-03-21 17:48:57.592 -0300;;;Itaim Paulista II;;23;CRAS
27;56a15915-3aed-4ada-8ac7-55c5d4f1d953;2025-03-21 17:49:09.043 -0300;;;Itaqueira;;24;CRAS
28;569182a1-6925-452c-9f0d-03e6bfa7d524;2025-03-21 17:49:23.307 -0300;;;Jabaquara;;25;CRAS
29;2ac0a42a-219d-4464-b447-e262facdced1;2025-03-21 17:49:36.852 -0300;;;Jaçanã;;26;CRAS
30;f88a9b8c-cbde-4674-9ab0-f8257163c9ea;2025-03-21 17:49:51.120 -0300;;;Jaraguá;;27;CRAS
31;dd5dbc16-b4ac-4290-acfc-26cf37b58cb5;2025-03-21 17:50:01.302 -0300;;;Jd. Angela;;28;CRAS
32;9088c5e1-3ee9-4630-9d02-a105a98aae94;2025-03-21 17:50:14.076 -0300;;;Jd. São Luiz;;29;CRAS
97;814b4f91-63ed-40ea-9170-9e84948f198e;2025-03-26 09:54:32.189 -0300;;;Lajeado;;96;CRAS
33;e9687509-f250-416b-8c78-e156d7144b16;2025-03-21 17:51:43.311 -0300;;;Lapa;;31;CRAS
34;fd35645e-b89b-4e95-be6b-1d2efa9fb0bf;2025-03-21 17:51:56.948 -0300;;;M' Boi Mirin;;32;CRAS
35;0660532e-3786-4efa-9dfa-9b95bc8623cd;2025-03-21 17:52:07.945 -0300;;;Marsilac;;33;CRAS
36;924789b2-9de1-43ec-9f41-a1c6f8c04213;2025-03-21 17:52:16.837 -0300;;;Mooca;;34;CRAS
37;9d7faba6-ebf0-44f5-a453-af72557d8c1f;2025-03-21 17:52:28.740 -0300;;;Parelheiros;;35;CRAS
38;dfe9df0a-0d0c-46a4-927d-48a60b08db2d;2025-03-21 17:52:41.528 -0300;;;Pedreira;;36;CRAS
